cohort_month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,19,20
2016-09,100.0,,,,,,,,,,,,,,,,,,,
2016-10,100.0,,,,,,0.4,,,0.4,,0.4,,0.4,,0.4,,0.4,0.8,0.8
2016-12,100.0,100.0,,,,,,,,,,,,,,,,,,
2017-01,100.0,0.3,0.3,0.1,0.4,0.1,0.4,0.1,0.1,,0.4,0.1,0.7000000000000001,0.4,0.1,0.1,0.3,0.4,0.1,
2017-02,100.0,0.2,0.3,0.1,0.4,0.1,0.2,0.2,0.1,0.2,0.1,0.3,0.1,0.2,0.1,0.1,0.1,0.2,,
2017-03,100.0,0.4,0.4,0.4,0.4,0.2,0.2,0.3,0.3,0.1,0.4,0.1,0.2,0.1,0.2,0.2,0.1,0.1,,
2017-04,100.0,0.6,0.2,0.2,0.3,0.3,0.4,0.3,0.3,0.2,0.3,0.1,0.0,0.0,0.1,0.1,0.1,,,
2017-05,100.0,0.5,0.5,0.3,0.3,0.3,0.4,0.1,0.3,0.3,0.3,0.3,0.2,0.0,0.2,0.2,,,,
2017-06,100.0,0.5,0.4,0.4,0.3,0.4,0.4,0.2,0.1,0.2,0.3,0.4,0.2,0.2,0.2,,,,,
2017-07,100.0,0.5,0.3,0.2,0.3,0.2,0.3,0.1,0.2,0.3,0.2,0.3,0.1,0.2,,,,,,
2017-08,100.0,0.7000000000000001,0.3,0.3,0.3,0.5,0.3,0.3,0.1,0.1,0.2,0.2,0.1,,,,,,,
2017-09,100.0,0.7000000000000001,0.5,0.3,0.4,0.2,0.2,0.2,0.3,0.2,0.2,0.1,,,,,,,,
2017-10,100.0,0.7000000000000001,0.3,0.1,0.2,0.2,0.2,0.4,0.3,0.2,0.2,,,,,,,,,
2017-11,100.0,0.6,0.4,0.2,0.2,0.2,0.1,0.2,0.1,0.1,,,,,,,,,,
2017-12,100.0,0.2,0.3,0.3,0.3,0.2,0.2,0.0,0.2,,,,,,,,,,,
2018-01,100.0,0.3,0.4,0.3,0.3,0.2,0.2,0.2,,,,,,,,,,,,
2018-02,100.0,0.3,0.4,0.3,0.3,0.2,0.2,,,,,,,,,,,,,
2018-03,100.0,0.4,0.3,0.3,0.1,0.1,,,,,,,,,,,,,,
2018-04,100.0,0.6,0.3,0.2,0.1,,,,,,,,,,,,,,,
2018-05,100.0,0.5,0.3,0.2,,,,,,,,,,,,,,,,
2018-06,100.0,0.4,0.3,,,,,,,,,,,,,,,,,
2018-07,100.0,0.5,,,,,,,,,,,,,,,,,,
2018-08,100.0,,,,,,,,,,,,,,,,,,,
